Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
302642,https://www.tiktok.com/@fitmomprojectph/video/7587262070417116437,"One Pack, One Process, Three Dishes!

As a mom, coach and fitness enthusiast, what I value most when it comes to meals is that it should be versatile & flexible! THat's why I'm happy to always recommend and use our go-to food partner– Crispy Fry®! 

Check out how I prepared three simple dishes in the simplest, fastest & yummiest way possible! 
@Cookmunity By Ajinomoto PH #fitmomprojectph 
#CrispyFry® #FryfinityAndBeyond #OnePackThreeDishes",9,0,0,1,539,,,
629322,https://www.tiktok.com/@mommyjoy.sahm/video/7585542904479763720,"Easy ulam and snack with just one pack! Ikaw, ano ang 3 dishes mo in 1 pack?

@Cookmunity By Ajinomoto PH 

#CrispyFry® #FryfinityAndBeyond #OnePackThreeDishes",269,48,11,53,3309,,,
