ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
931776,https://www.instagram.com/p/DUiKdaUifYi/,"Tangan sampai momen makan bareng si kecil jadi gak menyenangkan karena bau amis yang gak hilang hilang 😩🤮
Untuk ada Biore GUARD Foaming Hand Soap yang lawan 99% kuman dan usir bau membandel efektif membersihkan hingga kuku dan sela sela jari dengan wangi sweet berry yang menyegarkan ❤️

Yuk beli di minimarket atau e commerce kesayangan kamu 
 #Biore #BioreGuardHandSoap #CuciTangan #TanganBersihBebasBau",203,108,10,4,66300,,,
766572,https://www.instagram.com/reel/DUSvuKMksIw/?igsh=c3QxMmt3d3g3aG5v,"Si paling happy masak bareng, tapi anti drama tangan bau ✨
Sekali cuci langsung bersih, wangi, dan lembut berkat Biore Guard Foaming Hand Soap.
Quality time sama anak jadi makin seru tanpa gangguan 💕

Mulai hari dengan #TanganBersihBebasBau bersama Biore Guard Foaming Hand Soap.
Tersedia di e-commerce & supermarket terdekat @bioreguard.id #BioreGuard # FoamingHandSoap",294,23,1,23,12700,,,
