Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
3443424,https://www.tiktok.com/@marlinecapones/video/7592949145984437524,"Making simple food feel special.
Crispy Fry® Original pack, one process, three dishes…
for moments that feel like home.💕

#FryfinityAndBeyond #CrispyFry® #OnePackThreeDishes
#foodie

@CookmunitybyAjinomoto",8831,62,582,1071,2107816,,,
699645,https://www.tiktok.com/@hungrymommyy/video/7593305819312180487,"Isang pack ng Crispy Fry® may tatlong ulam na! Fried chicken, pork chops, at green beans! Lunch solved ✔️

#CrispyFry® #FryfinityAndBeyond #OnePackThreeDishes #foodie @Cookmunity By Ajinomoto PH ",1263,27,90,145,668091,,,
3441670,https://www.tiktok.com/@adz.dm/video/7600242063405321490,"Hindi ako tamad! Efficient lang! Efficient talaga with Crispy Fry® because with just one pack, I can do 3 dishes! Show us your Fryfinity and Beyond combo!

#CrispyFry® #FryfinityAndBeyond #OnePackThreeDishes @Cookmunity By Ajinomoto PH ",32,1,0,1,608,,,
