Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
1002830,https://www.instagram.com/reel/DQG44BfEfjo/?igsh=NnBpeWJtdmkxMGp1 ,"✨ Smarter skincare > wasted skincare! ✨
Why let cotton absorb more product than your skin? 🤔
Cosmoderm PoreFix Repair BioPeel+ Clear Pad = clearer pores, smoother skin, and no more waste. Pair it with Glow-C UV Shield for all-day protection + brightening ☀️💛

👉 Your skin deserves better @cosmoderm
#CosmodermClearPad #healthyskin #aestheticstrength",738,32,7,31,3105,,,
3383016,https://www.instagram.com/reel/DP8r1kMk9l9/?igsh=MW5vNnpicjd3dGFoNQ%3D%3D,"Meet your new skin BFF — the COSMODERM PoreFix Repair BioPeel+ Clear Pad 🍊✨
It gently exfoliates, unclogs pores, and restores your glow — all in one swipe!
Say hello to smoother, clearer, healthier skin 💖

👉 Try it now with @cosmoderm and feel the difference!
#healthyskin #CosmodermClearPad #aestheticstrength",45,17,0,3,2446,,,
