AnyTag Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
958538,https://www.tiktok.com/@risnaoktaviahardanik/video/7560648920859249976?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112,"Rasa kari khas dari Indomie Banglahdes’e tuh bener-bener beda! Makin mantap kalau dimasak NYEMEK – kuahnya nggak kebanyakan tapi tetap gurih maksimal 😍 Kalian cobain juga yuk, langsung beli sekarang dan rasain sendiri enaknya!
#Indomie #IndomieNyemek #MieNyemek @Indomie",621,13,21,809,10120,,69,
727193,https://www.tiktok.com/@kamilahfickychannel/video/7565419138257079573?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112,"Gak kuah, gak goreng… tapi NYEMEK! 🤤
Indomie BANGLAHDES’E emang paling enak dinikmati nyemek gini — ada kuah dikit, tapi rasanya makin nendang 🔥
Wajib banget kalian cobain sendiri sensasinya, langsung beli dan masak nyemek sekarang! 🍜✨

#Indomie #Banglahdese #MieNyemek #IndomieBanglahdese #NyemekLebihEnak",1062,29,5,15,23476,,21600,
