Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
761169,https://www.tiktok.com/@iamkhrysskelly/video/7578928457183218952,"Guys, last call na talaga! 🎄⚠️ The Sip the Season with Coke Emoji Cup Promo is ending soon so join now and get the chance to win the LIMITED EDITION Coca-Cola Emoji Cup! 🥤✨ Just purchase any participating Coca-Cola combo meal, scan, play the Emoji Game, and enjoy instant prizes plus a shot at taking home the special Emoji Cup! Available in select VisMin Stores only until 15 December.   @McDo_PH  #CocaColaPH #PaskongCocaCola #RefreshTheHolidays #CokeEmojiCup DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025 ",1107,3,5,34,11728,,,
922933,https://www.tiktok.com/@jessaryllagunoo/video/7580578389988216081,"Just tried the Coca-Cola Emoji Game and I’m obsessed! 😍🍕🥤 Nothing beats enjoying your holiday favorites with Coke — and yes, the limited-edition Coke Emoji Cup is super cute in real life! Don’t miss your chance to win too! ✨ Grab your participating combo meal with Coca-Cola in participating restaurants ✨ Scan the QR code and Play the Emoji Game ✨ Win prizes, including the limited-edition Emoji Cup Available in select stores only. #CocaColaPH #PaskongCocaCola #RefreshTheHolidays #CokeEmojiCup DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025",528,1,5,13,8889,,,
1046848,https://www.tiktok.com/@nxcolletyg/video/7583360828343192853,LOOK how adorable the Coke Emoji Cup is!😍✨ The limited-edition Coke Emoji Cup is here — but only until December 30! Visit any participating partner restaurant such as @Subway® Philippines and try different Coke Combo meals to increase your chance to win Limited-Edition Coke Emoji Cup and other prizes. Available in select stores only. #CocaColaPH #PaskongCocaCola #RefreshTheHolidays #CokeEmojiCup DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025#LaPuraCrema,41,3,3,2,8013,,,
