AnyTag Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
956683,https://vt.tiktok.com/ZSygJcnrF/,"Coloring rambut tuh emang butuh extra effort buat ngerawatnya. Apalagi rambutku tipe yang rontok banget dari sebelum aku coloring. Ternyata, selama ini aku salah fokus! Setelah lihat video dr. Zie, aku baru tau kalo kulit kepala juga butuh perawatan.

So, sekarang aku pake Dove Biotin Hairfall Control yang punya kandungan penting untuk kesehatan kulit kepala! Kalian punya masalah yang sama? Yuk buruan cobain juga Dove Biotin Hairfall Control!

#sticth @dr. Yessica Tania,dpl AAAM
@dove.indonesia
#DoveID #DoveHair #HairCareRecommendations",282,51,0,52,26000,,,
904632,https://vt.tiktok.com/ZSybnwSS1/,"#stitch
@dr. Yessica Tania,dpl AAAM
Rambut rontok? Jangan salah fokus lagi! karena ternyata masalahnya bukan di batang, tapi di scalp lo😱

Gue udah #scalpfokus bareng Dove Biotin Hairfall Control dong! hasilnya? baby hair tumbuh, rontok jauh berkurang🫶

Lo sendiri kapan? yuk cobain juga, beli nya di keranjang kuning gue ya😍
#doveid #dovehair #haircarerecommendations",21,2,1,2,310,,,
3370163,https://www.tiktok.com/@kadangkirikadangkanan/video/7571057424749120776,"#stich
@dr. Yessica Tania,dpl AAAM

Selama ini kita fokus ke batang rambut, padahal akar masalahnya ada di… kulit kepala! 😳
Yes, scalp juga butuh skincare biar rambut tumbuh kuat dan nggak gampang rontok 💪✨

Sekarang aku udah #S#ScalpFokusareng Dove Biotin Hairfall Control Tonic 💆‍♀️
Dengan Biotin, Dynazinc™, dan Ceramide yang bantu perkuat kulit kepala dan kurangi rambut rontok dari akarnya 🌿

Karena rambut kuat, mulai dari scalp yang sehat 💖
Salah Fokus ke Scalp Fokus #Do#DoveHairo#DoveIDcalpFokus",90,0,0,1,2576,,,
729002,https://vt.tiktok.com/ZSyVxKD4t/,"Ternyata akar masalah rambut rontok tuh… literally di akar 😭

Sekarang aku rawat dari kulit kepala pakai Dove Biotin Hairfall Control dari @dove.indonesia 🩶

#ScalpFocus #DoveBiotinHairfallControl #HairCare",86,6,12,0,192,,,
26458,https://vt.tiktok.com/ZSyqScGcp/,"#stitch
@dr. Yessica Tania,dpl AAAM
Ternyata aku selama ini Salah Fokus terlalu percaya mitos 😩✋🏻
Harusnya #ScalpFokus pake Dove Biotin Hairfall Control Hair Tonic 💆🏻‍♀️
Bisa bantu numbuhin sampai 2700 helai rambut baru dalam 4 minggu!
Langsung cek di 🛒 keranjang kuning sebelum kehabisan 💛 #DoveID #DoveHair #HairCareRecommendations",391,56,16,63,10700,,,
958550,https://www.tiktok.com/@ibunyajessy/video/7571032330618326292,"Dulu aku #SalahFokus, cuma ngurus batang rambut… ternyata kuncinya ada di KULIT KEPALA!
Sekarang udah #ScalpFokus bareng Dove Biotin Hairfall Control 💆🏻‍♀️
Tiap semprot Hair Tonic-nya bikin kulit kepala terasa sehat, rambut makin kuat & tumbuh baby hair baru! @dove.indonesia

#S#ScalpFokusD#DoveBiotinHairfallControlHairCare",6686,104,148,46,45500,,,
