Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
1281894,https://www.instagram.com/p/DQWJ-2IEvkW/,"✨ Cosmoderm X Mydin Roadshow 2025 KEMBALI LAGI! ✨
Lagi banyak beli, lagi banyak hadiah! 💝

Ada Promosi Eksklusif & GWP:
🛍️ Beli RM35 → Dapat hadiah menarik Cosmoderm!
👜 Beli RM55 → Dapat hadiah Cosmoderm + Beg Felt eksklusif!

📅 Hingga 2 Nov 2025
📍 Mydin Meru Raya, Perak

Let’s glow up together! Jom singgah Cosmoderm booth, beli sikit pun dapat gift tau! 💛

#COSMODERM #COSMODERMROADSHOW #MYDIN #SkincareOnTheGo #JomSinggahCOSMODERM #COSMODERMBeautyMarket
@cosmoderm @mydinmalaysia",7,1,1,1,706,,537,
1283525,https://www.instagram.com/p/DQYQM-DkhqJ/,"Best nya sekarang ni Cosmoderm tengah buat event
✨ Cosmoderm X Mydin Roadshow 2025 kat Mydin Meru, Ipoh! ✨
Lagi banyak membeli, lagi banyak hadiah yang boleh dapat tau🥰 yang best dekat event ni boleh skin analysis terus dapat tahu skin kita problem !

Cepat korang datang kesini sebab Ada Promosi Eksklusif & GWP:
📅 Now Hingga 2 Nov 2025
📍 Mydin Meru Raya, Perak

Glow together with Cosmoderm🥰🥰

#COSMODERM #COSMODERMROADSHOW #MYDIN #SkincareOnTheGo #JomSinggahCOSMODERM #COSMODERMBeautyMarket @cosmoderm @mydinmalaysia",13,3,0,0,267,,,
698154,https://www.instagram.com/p/DQhJ8eeD9yk/,"Esok last day‼️ COSMODERM Beauty Market Roadshow di Ground Floor Mydin Meru Ipoh!

Korang boleh bawa apa-apa botol kosong makeup remover & dapat fullsize COSMODERM Micellar 4in1 secara PERCUMA.

✨ Skin Analysis percuma
✨ Gift with Purchased
✨ Harga promosi special
✨ Redeem Beauty Kit
✨ Redeem popcorn with any purchased

Esok last day tauu, jangan lupa datang! ❤️✨

@cosmoderm @mydinmalaysia

#COSMODERM #COSMODERMBeautyMarket #MYDIN #SkincareOnTheGo #JomSinggahCOSMODERM #ipoh #meruipoh #mydin",368,32,5,40,918,,619,
3379654,https://www.instagram.com/reel/DQf1lgYE_5v/,"Weekend ni plan apa? Kalau tak ada plan, jom singgah Cosmoderm Roadshow dekat MYDIN Meru Raya ✨

Boleh buat skin test, try produk best macam Niacinamide Serum, dapat goodies dan join aktiviti fun! Skincare, fun & hadiah — all in one 😍

Paling menarik, ada Exchange Program hujung minggu ni — bawa empty bottle, dan tukar dengan Micellar Product PERCUMA (2–4PM saja!) ✨

📍 MYDIN Meru Raya
🗓️ 27 Oct – 2 Nov 2025

#Cosmoderm #CosmodermRoadshow #SkincareOnTheGo #Mydin #CosmodermBeautyMarket #JomSinggahCosmoderm #perak",371,16,1,12,6503,,5393,
