ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
3375022,https://www.instagram.com/reel/DRq-06zEaZ7/?igsh=ZGpmOHkzanB5ems1,"Andalan buat para pedagang2 atasi flu dan batuk sediakan @stopcold.andalan ✨
Karena saya juga biasa sediakan di rumah👍
#StopColdMulaiSekarang #fyp #obatfludanbatuk",76,35,0,0,3350,,,
3375302,https://www.instagram.com/p/DRrTfGkCV8q/,"Pedagang unik sekitar kita kadang bikin kita ga pernah lupa akan jualannya. Pas banget @stopcold.andalan lagi adain activation dengan menceritakan pedagang unik di sekitarmu. Yuk ikutan juga keseruan Activation bareng @stopcold.andalan hanya sampai tanggal 12 Desember 2025 aja yah. Jangan sampai kelewatan ✨

#StopColdMulaiSekarang #fyp #obatfludanbatuk",80,23,0,0,4955,,,
3375346,https://www.instagram.com/p/DRrclGZgVW9/,Jangan lupa stok Stop Cold di rumah @stopcold.andalan #StopColdMulaiSekarang #fyp #obatfludanbatuk,39,2,3,7,1961,,,
3375318,https://www.instagram.com/p/DRrguGQklOd/,"Cuaca buruk seperti sekarang ini jadi marak kena flu dan batuk, nah kalian ikutan @stopcold.andalan activation pedagang unik atau lucu di daerah kamu. #StopColdMulaiSekarang #fyp #obatfludanbatuk",95,12,5,8,1877,,,
