AnyTag Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
42602,https://www.tiktok.com/@bilahghaisani/video/7573511546433768712?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112,"Gak mau deh, kalau si kecil tiba-tiba sakit gara-gara terlalu semangat main! 😫 Moms sekarang tenang karena ada Fortiboost Immuno Sirup dari Combiphar!
Formula 3 in 1 Force-Z (Echinacea, Black Elderberry, Zinc Picolinate) andalan banget buat jaga daya tahan tubuhnya. Echinacea lebih tinggi, harga lebih murah lho! Rasa Mix Fruit (Strawberry-Nanas) kesukaan anak dan pastinya Halal!
Moms wajib coba! Langsung check out di Keranjang Kuning ya! 🛒
 #Fortiboost #AnakSehatbersamaFortiboost #AktifCeriaBersamaFortiboost @fortiboost.id ",69,5,8,5,26400,,1400,
51845,https://www.tiktok.com/@febymuth/video/7574001921531366677?is_from_webapp=1&sender_device=pc,"Moms, siapa nih yang anaknya super aktif?
Aku selalu jaga imun si kecil dengan yang
3 in 1!
Fortiboost Immuno Syrup punya formula 3 in
1 FORCE-Z lengkap: Echinacea (lebih tinggi!), Black Elderberry, dan Zinc Picolinate untuk jaga daya tahan tubuh maksimal!
Gak perlu khawatir anak gampang sakit!
Checkout di keranjang kuning sekarang!
#Fortiboost #Fortiboostlmmuno #Imunstopable @fortiboost.id ",73,1,17,2,30000,,1500,
3381572,https://www.tiktok.com/@siski_n/video/7572874708010519826?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112,"Hobi pushbike? Gas terusss🙌🏻
Anak aktif = mama happy! 
asal daya tahan tubuhnya tetap terjaga ✨
Makanya aku selalu sedia Fortiboost Immuno Syrup dengan 3 in 1 FORCE-Z formula
rasanya enak banget mix fruit 🍓🍍 @fortiboost.id 
Bisa beli di apotek, Guardian/Watsons, atau e-commerce ya!   
#Fortiboost #AnakSehatbersamaFortiboost #AnakSehatbersamaFortiboost #AktifCeriaBersamaFortiboost",36,1,4,5,26200,,2100,
